UAP Capability Area,Required Feature/Capability,Azure AI Foundry / Azure Service,GA Status,Capability It Provides,GA Alternative (if not GA),Notes / Recommendation
Model Marketplace - Central Repository,Register all models and prompts with metadata (purpose / owner / version),Azure AI Foundry Projects & Hub Workspace,[GA] East US / East US 2,Central project that registers and manages AI models with metadata; model catalog with version tracking; model cards via evaluations workspace,N/A - GA today,Use AIProjectClient from @azure/ai-projects v1.0.1; project endpoint at https://<hub>.services.ai.azure.com
Model Marketplace - Central Repository,Support for internal models and BYOM (Bring Your Own Model),Azure AI Foundry Model Catalog + BYOM onboarding,[GA],"Browse and deploy 1800+ models (OpenAI, Meta, Mistral, DeepSeek, etc.); register custom fine-tuned or partner models under same governance; supports Azure OpenAI, OSS, and partner model deployments",N/A - GA today,"18 model deployments already live in the repo including GPT-4o, o1, DeepSeek-R1, Mistral"
Model Marketplace - Approval Workflow,Draft -> Review -> Approved governance pipeline,Azure AI Foundry (no native approval pipeline) + Azure DevOps / GitHub Actions + Custom Cosmos DB state machine,[PARTIAL] - Foundry has model registration but no built-in multi-stage approval workflow,"Foundry provides model registration + version tracking; approval workflow must be custom-built with Cosmos DB state machine, Azure Functions, and Azure DevOps gates","Custom implementation: Cosmos DB state machine (Draft/Review/Approved) + Azure Functions API + Azure DevOps pipeline gates (already partially implemented in repo)",Repo already has publisher submission pipeline scaffolded; wire DevOps pipeline approval gates to Foundry deployment
Model Marketplace - Model Report Cards,Easy-to-read evaluation summaries (accuracy / bias / limitations),Azure AI Foundry Evaluations API (AI Hub Workspace),[GA] Hub workspace required,Run built-in evaluators (groundedness / relevance / coherence / fluency / similarity / F1) and custom evaluators; results stored per run with model version; supports bias and safety metrics via Azure AI Content Safety,N/A - GA today,Requires AZURE_AI_HUB_WORKSPACE_URL env var; uses *.api.azureml.ms endpoint; client already implemented in foundry-client.ts
Model Marketplace - Continuous Monitoring / Drift Detection,Detect performance drift or bias and trigger retraining or rollback,Azure Monitor + Application Insights + Azure ML Model Monitoring,[GA] Azure Monitor / App Insights; [PARTIAL] Azure ML Model Monitoring (data drift) requires ML workspace,"App Insights tracks model latency / error rate / throughput in real time; Azure Monitor alerts on KPI thresholds; Azure ML Model Monitoring detects data drift and triggers retraining pipelines","For real-time inference drift: Azure Monitor alerts (GA); For training data drift: Azure ML Model Monitoring (GA); Provisioning agent pattern can leverage Azure AI Foundry Evaluations on sampled traffic","Repo uses Application Insights v3.4.0; custom provisioning agent for external data sources as described in UAP PRD"
Model Marketplace - Champion vs. Challenger Testing,Compare new model versions safely before full rollout,Azure Container Apps Traffic Splitting + Azure AI Foundry model versioning,[GA],"Container Apps supports traffic splitting (canary / blue-green) between model versions; Foundry model versioning tracks champion vs. challenger; A/B routing logic via custom API layer",N/A - GA today,Implement at API gateway layer (APIM policy or Container Apps weighted revision) routing % of traffic to challenger deployment
Model Marketplace - MCP Server Exposure,All models exposed via MCP Server for agentic workflow consumption,MCP Tools with Foundry Agent Service (self-hosted MCP servers),[GA] tooling pattern,"Host MCP servers in Azure Container Apps or App Service; Foundry Agent Service calls them as tools; full JSON-RPC 2.0 protocol; auth injection (Bearer / API-key / OAuth2)",N/A - GA today,"MCP Gateway already fully implemented in the repo (mcp-gateway.ts / mcp-servers.ts) with registry in Cosmos DB; host MCP containers in Container Apps with private endpoints"
One-Click Deployment - All AI Assets,Instant deployment of approved models / agents / prompts / workflows without manual steps,Azure AI Foundry deployment API + Azure DevOps / GitHub Actions CI/CD,[GA],"Foundry REST API deploys model versions to production endpoints; GitHub Actions / Azure DevOps orchestrate build-test-approve-deploy pipeline; Container Apps handles zero-downtime revisions",N/A - GA today,Wire Foundry AIProjectClient deployments API to publisher approval completion event via Service Bus
One-Click Deployment - Unified Model Flexibility,Support pre-trained / fine-tuned / partner-provided / custom LLMs (ChatGPT / Claude / internal) at deploy time,Azure AI Foundry Model Catalog + Azure OpenAI + Serverless API endpoints (MaaS),[GA],"Foundry Model Catalog exposes Azure OpenAI models, partner models (Meta Llama, Mistral, DeepSeek) as serverless endpoints; agents pick model at runtime via modelId config; fine-tuned models registered as custom deployments",N/A - GA today,"Repo configures model choice per agent via agentId/modelId; 18 deployments live; serverless endpoints for OSS models remove capacity reservation requirement"
One-Click Deployment - Standardized I/O Contracts,All deployable assets adhere to standardized input/output schemas,Azure AI Foundry Responses API + OpenAI-compatible API surface,[GA],"Foundry exposes OpenAI-compatible REST API (chat/completions / responses); all agents share consistent message schema; tool call format standardized across all model types",N/A - GA today,Use OpenAI-compatible SDK; standardized I/O enforced at MCP tool layer (already implemented) and agent node config
One-Click Deployment - RAG Integration,Assets attach knowledge bases or access shared RAG module,Azure AI Foundry File Search + Vector Stores (Agent Service),[GA] with quotas,"Attach files and vector stores directly to Foundry agents; supports chunking / embedding / retrieval natively; agents search vector stores automatically on each run; backing Storage + AI Search can be private-endpoint-isolated",N/A - GA today,Use AIProjectClient to create vector stores and attach to agents; quotas apply (check East US 2 limits); also supports Azure AI Search as external tool for larger indexes
One-Click Deployment - Search & Retrieval,Deployed agents perform secure online search / structured retrieval,Azure AI Search as Foundry Agent Tool + Bing Grounding Tool,[GA] for AI Search; [PREVIEW] Bing Grounding (online search),"Azure AI Search: structured / semantic search over indexed RCM data (GA); Bing Grounding: real-time web search for external payer/policy data (Preview)","For online search in GA: Azure AI Search with regularly refreshed indexes fed by Azure Data Factory pipelines; avoid Bing Grounding until GA",Bing Grounding Preview note: not recommended for production PHI/compliance workflows until GA
