ID,Epic,Persona,Title,User Story,Description / Details,Acceptance Criteria,Priority,Stage (7-Stage Pipeline),Dependencies
US-OB-01a,Submission,Agent / Tool Publisher,Submit via Publisher Portal (UI),"As an agent developer using the web portal, I want to submit my agent or MCP tool via a guided form with package upload, so that I can onboard without installing tooling or wiring up CI.","Publisher Portal (Next.js) provides a multi-step wizard: (1) asset type (agent / MCP server / tool / model); (2) metadata form (name, version semver, owner, description, capability tags, RAI tags, data categories); (3) package upload (zip / container image ref / git URL) with client-side AgentCard/manifest preview; (4) review + submit. Form posts to Publisher & Submission API; uploads stream to Blob via SAS URL.","- Given a signed-in publisher, when the wizard is completed and submitted, then a submissionId is returned within 5s and shown on the confirmation screen.
- Drafts auto-save every 30s and resumable from My Submissions.
- Client-side schema validation surfaces field-level errors before submit.
- Large packages (> 100 MB) upload directly to Blob via SAS, not through API.
- Submission appears in Cosmos DB with status=submitted, source=portal, tenantId partition.
- Audit log entry created (who, when, source=portal, package hash).",P0,1 - Submission,"Publisher Portal, Publisher API, Entra ID auth, Blob SAS"
US-OB-01b,Submission,Agent / Tool Publisher,Submit via CLI / REST API,"As a developer working locally or scripting submissions, I want to submit my agent via a `uap` CLI (and the underlying REST API), so that I can onboard from my terminal or automate from any tool.","Cross-platform `uap` CLI (Node/Go) wraps the Publisher & Submission REST API. Commands: `uap login` (device code / Entra), `uap init` (scaffold agent.yaml), `uap validate` (local schema + lint), `uap submit [--path .] [--version x.y.z]` (packages source, uploads, returns submissionId), `uap status <id>`, `uap logs <id>`. REST API documented via OpenAPI; same auth (Entra bearer / OIDC) and same backend as Portal.","- `uap submit` returns submissionId within 5s for packages up to 100 MB.
- CLI exits non-zero on validation failure with field-level errors before any upload.
- `uap login` supports device code + service principal + workload identity.
- REST API endpoints documented in OpenAPI spec served at /api/openapi.json.
- Submission record has source=cli or source=api with client_id captured.
- CLI is distributable via npm, brew, and a single binary release.
- Audit log entry created (who, when, source, package hash).",P0,1 - Submission,"Publisher API, Entra ID (device code + SP), OpenAPI spec"
US-OB-01c,Submission,Agent / Tool Publisher,Submit via CI (GitHub Actions / Azure Pipelines),"As a publisher with a Git repo, I want a CI workflow that submits on tag/release using OIDC federation, so that production submissions are reproducible, auditable, and never use long-lived secrets.","Provide a reusable GitHub Action (`uap/submit-action@v1`) and an Azure DevOps task that authenticate to Entra via OIDC workload identity federation (no client secrets), build the package, and call the Publisher API. Triggered on git tag matching semver. Captures git_sha, repo, run_id, workflow_ref into the submission record for SLSA-style provenance.","- Workflow authenticates to Entra via OIDC; no PAT or client secret required.
- Tag push (e.g., `v1.2.0`) triggers the action and produces a submission within 5 min including build.
- Submission record includes git_sha, repo URL, workflow_ref, run_id, runner identity.
- Action fails the build (non-zero exit) on validation, scan, or approval-rejection terminal states.
- Provenance attestation (SLSA-style) attached to submission and visible on asset detail page.
- Action is versioned and pinnable by SHA; minimal required permissions documented.
- Audit log entry created (who=workflow identity, when, source=ci, package hash).",P0,1 - Submission,"Publisher API, Entra ID OIDC federation, GitHub Actions / ADO"
US-OB-02,Submission,Agent / Tool Publisher,Real-time submission status,"As a publisher, I want to see live progress of my submission across all 7 stages, so that I know exactly where it is and what's blocking it.","Submission detail page (and CLI `uap status <id>`) shows each of the 7 stages with state (pending/running/passed/failed/waiting-approval), timestamps, and links to logs/artifacts. Backed by SSE/WebSocket stream from Orchestration API; trace_id propagated via OTel for cross-stage correlation.","- Stage transitions appear in UI within 2s of state change.
- Each stage shows started_at, completed_at, duration, outcome.
- Failed stages link to scanner report / test report / approver comment.
- CLI exits non-zero on terminal failure; streams stage events.
- trace_id visible and copyable for App Insights lookup.",P0,All,"US-OB-01, App Insights"
US-OB-03,Validation,Agent / Tool Publisher,Actionable validation feedback,"As a publisher, I want to receive specific schema, dependency, and security-scan failures with remediation hints, so that I can fix and resubmit quickly without guessing.","Validation stage runs: (a) AgentCard/MCP manifest schema validation; (b) dependency audit (CVE scan, license check); (c) Security Scanner static rules (PHI/PII patterns, secrets, risky deps). Each finding includes severity, file:line, rule_id, message, and remediation link.","- Schema errors return JSON Pointer paths and expected types.
- CVE findings include CVE id, severity, fixed-in version.
- Secrets detection blocks submission with severity=critical.
- Each finding has a `remediation_url` to platform docs.
- Resubmission with fixes clears prior findings and proceeds.",P0,2 - Validation,"Security Scanner, dependency scanner"
US-OB-04,Registration,Agent / Tool Publisher,Auto-generate AgentCard,"As a publisher, I want my agent automatically registered as an AgentCard in the registry, so that it's immediately discoverable by capability tags.","On Validation pass, Onboarding Agent calls A2A Agent Registry / MCP Server Registry to create an AgentCard from submitted metadata: name, version, owner, endpointUrl, skills, capability tags, RAI tags, data categories. Indexed in AI Search for capability + semantic discovery.","- AgentCard created with status=registered (not yet active).
- Capability tags normalized against controlled vocabulary.
- Searchable in AI Search within 30s of registration.
- Duplicate name+version returns HTTP 409.
- Asset Catalog reflects new entry with lineage to submissionId.",P0,3 - Registration,"A2A/MCP Registry, Asset Catalog, AI Search"
US-OB-05,Lifecycle,Agent / Tool Publisher,Publish a new version,"As a publisher, I want to push a new semantic version (MAJOR.MINOR.PATCH) of an existing agent, so that it coexists with prior versions and follows canary rollout.","Submitting an existing name with a higher semver triggers the same 7-stage pipeline but, on Deployment, configures ACA revision-based traffic split: 5% → 25% → 50% → 100% gated by Evaluation Agent metrics. Prior versions remain active for backward compatibility.","- Semver bump enforced (reject equal/lower).
- MAJOR bump requires explicit `breaking_change=true` flag and re-approval.
- New revision deployed alongside current; traffic split observable in Admin Dashboard.
- Each step gate requires success_rate ≥ baseline − 2%.
- Rollback to prior revision in < 60s on regression.",P0,5-7,"US-OB-12, ACA revisions, Evaluation Agent"
US-OB-06,Provisioning,Agent / Tool Publisher,Auto-provisioned infra & secrets,"As a publisher, I want AKS/ACA workloads, Key Vault secrets, APIM routes, and managed identities provisioned automatically, so that I don't write Bicep or file infra tickets.","Provisioning stage executes Bicep template parameterized by AgentCard: creates ACA app (or AKS deployment), Key Vault access policy via Managed Identity, APIM operation + product binding, NSG/private endpoint membership. Idempotent — re-runs are safe.","- Provisioning completes in < 5 min for standard agents.
- Managed identity assigned least-privilege roles (no secrets in env).
- APIM route reachable via LLM/Agent Gateway with Entra-issued token.
- All resources tagged with tenantId, ownerId, submissionId.
- Failures emit structured error + auto-rollback of partial resources.",P0,5 - Provisioning,"Bicep modules, Key Vault, APIM, ACA, Entra ID"
US-OB-07,Submission,Agent / Tool Publisher,CI/CD template scaffolding,"As a publisher, I want a CI/CD pipeline template generated for my agent on first onboarding, so that future updates flow through the same gated pipeline.","On first successful onboarding, Onboarding Agent opens a PR (or downloadable bundle) into the publisher's repo containing: GitHub Actions workflow (build + test + `uap submit`), Dockerfile (if missing), agent.yaml, sample tests. Wires repo to Publisher API via OIDC federation.","- PR created with workflow that triggers on tag push.
- Workflow uses OIDC (no long-lived secrets).
- Local dev instructions generated in README section.
- Subsequent submissions auto-tagged with git_sha + build_id.
- Template is opinionated but overridable.",P1,1 - Submission,"GitHub OIDC, Publisher API"
US-OB-08,Approval,Security / RAI Reviewer,Approval gate routing,"As a security reviewer, I want sensitive or production-bound submissions auto-routed to me with full context, so that I can approve/reject without hunting for artifacts.","Approval stage classifies submission risk (data categories, PHI access, model tier, network egress) and routes via Logic Apps + Teams notification to the appropriate reviewer queue. Reviewer sees AgentCard, scan results, RAI tags, dependency tree, and prior version diff in the Admin Dashboard.","- Risk score computed and visible (low/med/high/critical).
- Low-risk auto-approves with audit entry; med+ requires human.
- Reviewer can approve, reject (with reason), or request changes.
- SLA timer visible; escalation after 24h to backup approver.
- Decision persisted immutably in Audit Log.",P0,4 - Approval,"Policy Engine, Admin Dashboard, Logic Apps"
