Gateway Capability Area,Required Feature/Capability,Azure Service / Feature,GA Status,Capability It Provides,GA Alternative (if not GA),Notes / Recommendation
LLM Traffic Routing - Model Selection,Route API calls to different LLMs based on task type (GPT-4o for reasoning / embedding models for search / image models for multimodal),Azure API Management (APIM) + Backend Pools + Routing Policy,[GA],"Define named backend pools per model type; APIM policy routes requests based on header/body parameters (e.g. x-model-type); supports Azure OpenAI, OSS model endpoints, and partner LLMs as backends; model selection logic in inbound policy",N/A - GA today,"Repo has 18 live model deployments; APIM Standard v2 (Internal mode) planned per optum-rcm-real-mvp-architecture.md; wire model type header from agent node config to APIM routing policy"
LLM Traffic Routing - PTU vs. Pay-as-you-go Fallback,Route to Provisioned Throughput Unit (PTU) deployments first; fall back to pay-as-you-go (PAYG) on 429 throttle,[GA] APIM Backend Priority Routing + Circuit Breaker,"APIM backend pool supports priority-weighted routing; PTU endpoint set at priority 1; PAYG endpoint set at priority 2; on 429 response the circuit breaker trips and APIM automatically routes to priority 2 backend; no client-side retry needed",N/A - GA today,"Critical cost optimization pattern for RCM high-volume claims; configure circuit breaker trip on 429/503 with 10-second break duration; APIM handles retry transparently"
LLM Traffic Routing - PTU vs. Pay-as-you-go Fallback,Route to Provisioned Throughput Unit (PTU) deployments first; fall back to pay-as-you-go (PAYG) on 429 throttle,Azure API Management Backend Pool with Priority Routing + Circuit Breaker Policy,[GA],"APIM backend pool supports priority-weighted routing; PTU endpoint set at priority 1; PAYG endpoint set at priority 2; on 429 response the circuit breaker trips and APIM automatically routes to priority 2 backend; no client-side retry needed",N/A - GA today,"Critical cost optimization for high-volume RCM claims; configure circuit breaker trip on 429/503 with 10-second break duration"
LLM Traffic Routing - Multi-Region Routing,Distribute LLM traffic across Azure OpenAI deployments in multiple regions for latency and availability,Azure API Management Backend Pool + Azure Front Door,[GA],"APIM weighted backend pool distributes requests across East US / East US 2 / West US OpenAI endpoints; Azure Front Door provides global anycast routing to nearest APIM instance; health probes detect region unavailability",N/A - GA today,East US 2 is primary GA region for Foundry; add West Europe as secondary for global tenants
LLM Traffic Routing - Dynamic Model Routing,Allow orchestrator or agent to specify target model at runtime without hardcoded endpoints,Azure API Management Named Values + Policy Expressions,[GA],"Agent passes x-target-model header; APIM inbound policy resolves model name to backend URL using named values or Cosmos DB lookup via policy expression; backend URL never exposed to client; supports hot-swapping model backends without client changes",N/A - GA today,Named values stored in APIM or Key Vault; model registry in Cosmos DB feeds the routing table via Azure Functions
Load Balancing & Failover - Round Robin / Weighted,Distribute load evenly across multiple Azure OpenAI endpoint replicas to maximize throughput,Azure API Management Backend Pool (Round Robin / Weighted),[GA],"APIM backend pool supports round-robin and weighted distribution across backends; configure equal weights for active-active or unequal weights for blue-green; health probes auto-remove unhealthy backends from rotation",N/A - GA today,Define separate backend pools per model family (GPT-4o pool / embedding pool / image pool)
Load Balancing & Failover - Circuit Breaker,Auto-detect failing or throttled LLM backends and stop routing to them during recovery,Azure API Management Circuit Breaker Policy on Backend Pool,[GA],"Circuit breaker monitors response codes (429 / 503 / 5xx); trips after configurable failure threshold; routes to next available backend; auto-closes after health check passes; prevents cascading failures to orchestrator",N/A - GA today,"Configure trip on 3 consecutive 429s within 30 seconds; break for 15 seconds; log trip events to App Insights for capacity planning"
Load Balancing & Failover - Retry with Backoff,Retry failed LLM requests with exponential backoff before returning error to caller,Azure API Management Retry Policy,[GA],"APIM retry policy retries on 429 / 500 / 502 / 503; configurable count (3) and interval (2s with exponential backoff); Retry-After header from Azure OpenAI honored; transparent to calling agent or orchestrator",N/A - GA today,Combine with circuit breaker: retry within single backend first; then circuit breaker switches to backup backend
Token-Based Rate Limiting - Azure OpenAI Token Limits,Enforce token consumption limits per subscription / tenant / user to prevent runaway costs,Azure API Management azure-openai-token-limit Policy,[GA],"Native APIM policy counts prompt + completion tokens from Azure OpenAI responses; enforces per-minute or per-hour token quotas by subscription key or JWT claim; returns 429 with Retry-After when limit hit; no custom code needed",N/A - GA today,"Map APIM subscription key to tenantId; set per-tenant token budgets (e.g. 100k tokens/min for enterprise tier vs 10k for standard); already planned in repo policy engine"
Token-Based Rate Limiting - Non-Azure OpenAI Token Limits,Enforce token limits for OSS LLMs (Llama / Mistral / DeepSeek) routed through APIM,Azure API Management llm-token-limit Policy,[GA],"Extends token rate limiting to non-Azure OpenAI LLM endpoints (any OpenAI-compatible API); same policy syntax as azure-openai-token-limit; supports completion tokens / prompt tokens / total tokens as limit dimension",N/A - GA today,Apply to DeepSeek-R1 / Mistral document AI / gpt-oss-120b deployments in the repo's model catalog
Token-Based Rate Limiting - Emit Token Metrics (Azure OpenAI),Stream token usage counters to Azure Monitor for real-time cost dashboards and alerting,Azure API Management azure-openai-emit-token-metric Policy,[GA],"Automatically captures prompt tokens / completion tokens / total tokens per request; emits as custom metrics to Azure Monitor; dimensions include API ID / subscription ID / model / region; powers cost dashboards in Azure Monitor workbooks",N/A - GA today,"Enable per APIM API; add tenantId as custom dimension from JWT claim; dashboard: cost per tenant per day per model; alert when daily spend exceeds budget"
Token-Based Rate Limiting - Emit Token Metrics (Non-OpenAI),Stream token metrics for OSS model traffic to Azure Monitor,Azure API Management llm-emit-token-metric Policy,[GA],"Same as azure-openai-emit-token-metric but works with any OpenAI-compatible LLM endpoint; captures token usage from response body; emits to Azure Monitor with configurable dimensions",N/A - GA today,Apply to all OSS model endpoints (DeepSeek / Mistral / Llama) for unified token cost dashboard across all model types
Call-Rate Limiting - Requests per Minute,Limit API call frequency to protect LLM endpoints and prevent abuse,Azure API Management rate-limit-by-key Policy,[GA],"Configurable call rate limit per subscription key / IP / JWT claim; sliding window or fixed window; per-API or per-operation granularity; returns 429 with Retry-After; separate limits for free / standard / enterprise tiers",N/A - GA today,"Set limits: orchestrator API (500 req/min) / agent API (200 req/min) / MCP gateway (1000 req/min) / LLM proxy (100 req/min per tenant)"
Call-Rate Limiting - Per-Tenant Quota,Enforce monthly call quotas per tenant subscription to support SaaS tiering,Azure API Management quota-by-key Policy,[GA],"Monthly quota enforced by subscription key mapped to tenantId; quota resets on calendar month; quota-exceeded returns 403; admins can view quota usage in APIM developer portal; supports quota top-ups via API",N/A - GA today,Map APIM product tiers (Free / Standard / Enterprise) to UAP subscription plans; sync quota exhaustion events to Cosmos DB billing container
Security - JWT / Entra ID Token Validation,Validate Azure Entra ID JWT tokens on all inbound gateway requests before routing to backends,Azure API Management validate-jwt Policy,[GA],"Validates JWT signature against Entra ID JWKS endpoint; checks issuer / audience / expiry; extracts claims (tenantId / roles / sub) for downstream policy; rejects invalid tokens with 401 before reaching any backend",N/A - GA today,"Configure validate-jwt with Entra ID openid-connect-discovery-document URL; extract tenantId and roles claims; pass as headers to backend (x-tenant-id / x-user-roles)"
Security - API Key Management,Issue and manage API keys for programmatic access by agents / MCP servers / external integrations,Azure API Management Subscription Keys,[GA],"APIM generates subscription keys per product/tenant; keys scoped to specific APIs (LLM proxy / orchestrator / MCP gateway); key rotation without downtime; key revocation on compromise; developer portal for self-service key management",N/A - GA today,Issue separate keys per integration: orchestrator -> LLM proxy key; MCP server -> tool invocation key; external tenant -> marketplace API key
